Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
2.989519188E1,2.412832489E0,2.705324249E0,-6.827901306E0
2.990523788E1,2.559826813E0,4.239933014E0,-4.777465210E0
2.991528388E1,3.984414368E0,3.666325836E0,-4.912933502E0
2.992532988E1,4.492158508E-1,6.398594055E0,-8.494834900E0
2.993537587E1,5.640570374E0,3.778891754E0,-8.030051422E0
2.994542187E1,3.915108490E0,2.237097931E0,-8.674161987E0
2.995546787E1,1.732197876E0,2.251468048E0,-7.958200836E0
2.996551388E1,4.496050415E0,2.136058044E0,-5.811963959E0
2.997555988E1,5.526058502E0,5.126838684E-1,-8.013286285E0
2.998560588E1,4.720134430E0,1.132245483E0,-8.685388641E0
2.999565188E1,1.222956848E0,2.410437469E0,-8.054001617E0
3.000569788E1,7.893086243E-1,2.298769684E0,-8.239465942E0
3.001574388E1,3.938609619E0,2.466870117E0,-7.087162170E0
3.002578988E1,-2.078128510E0,3.797602844E0,-8.201145630E0
3.003583588E1,-5.304968262E0,4.374652863E0,-1.326960571E1
3.004588188E1,1.219064941E0,4.757257233E0,-7.494914246E0
3.005592787E1,2.189945984E-1,3.265010376E0,-7.553143158E0
3.006597387E1,-4.417463837E0,2.654130707E0,-1.542272827E1
3.007601988E1,-5.337750092E0,3.771557007E0,-1.111304031E1
3.008606588E1,-2.043400726E0,5.671106873E0,-4.987927551E0
3.009611188E1,-1.733844452E0,4.564458160E0,-1.198273178E1
3.010615788E1,-6.358327789E0,7.589816895E0,-1.133862122E1
3.011620388E1,-4.026177521E0,9.333241425E0,-8.900940399E0
3.012624988E1,1.076411591E0,4.222868500E0,-1.187914719E1
3.013629588E1,-1.971550140E0,5.022056580E0,-1.197015793E1
3.014634188E1,-3.734883270E0,6.098019104E0,-1.203182968E1
3.015638788E1,-1.023122406E0,7.248825989E0,-1.424587555E1
3.016643387E1,1.479074249E0,5.387297058E0,-1.416968399E1
3.017647987E1,1.676513672E-1,4.401447144E0,-1.070783295E1
3.018652588E1,9.294172668E-1,5.170697479E0,-1.287981628E1
3.019657188E1,1.522783356E0,4.934937744E0,-1.146959885E1
3.020661788E1,-3.727249146E-2,4.839436340E0,-1.070409073E1
3.021666388E1,-4.052073669E-1,5.022655334E0,-1.029544052E1
3.022670988E1,1.983525238E0,5.350024567E0,-1.055694672E1
3.023675588E1,1.591640167E0,3.766766968E0,-1.126392654E1
3.024680188E1,-3.499572601E0,3.955374756E0,-1.246817230E1
3.025684788E1,3.592529297E-3,4.393813019E0,-1.153710846E1
3.026689388E1,1.226848755E0,4.499044189E0,-1.219723572E1
3.027693987E1,-3.766168213E0,5.270988922E0,-1.382959122E1
3.028698587E1,-5.141059113E0,5.520220642E0,-1.339773926E1
3.029703188E1,-2.397414551E0,7.140002289E0,-1.028047165E1
3.030707788E1,-3.805087280E0,7.689808960E0,-1.192854446E1
3.031712388E1,-6.511459351E0,6.604865112E0,-1.477382767E1
3.032716988E1,-3.268453217E0,6.090235291E0,-1.216714828E1
3.033721588E1,-2.210902405E-1,3.770808563E0,-1.208496918E1
3.034726188E1,-4.646038513E0,3.886368256E0,-1.381207764E1
3.035730788E1,-1.602268066E0,6.256090393E0,-9.445657654E0
3.036735388E1,2.071691895E0,4.366120605E0,-1.148322052E1
3.037739988E1,8.592132568E-1,3.817810822E0,-1.285242325E1
3.038744588E1,3.399430847E-1,6.401138763E0,-1.115405502E1
3.039749187E1,8.653504944E-1,5.831722870E0,-1.386566620E1
3.040753787E1,-1.336869965E0,5.581443329E0,-1.277248947E1
3.041758388E1,4.191284180E-3,6.060447235E0,-1.166628983E1
3.042762988E1,3.059637451E-1,5.839656372E0,-9.544751587E0
3.043767588E1,-9.475296021E-1,4.416715393E0,-1.109552673E1
3.044772188E1,7.698490906E-1,3.795656891E0,-1.179532150E1
3.045776888E1,1.501527557E0,6.794969788E0,-9.647138672E0
3.046781488E1,1.093027039E0,5.979315948E0,-1.070424042E1
3.047786088E1,1.140029297E0,2.704575806E0,-9.401798859E0
3.048790688E1,-3.318598938E-1,4.079017639E0,-6.281986542E0
3.049795358E1,-5.761518860E-1,5.352269897E0,-1.115929413E1
3.050799958E1,1.332978058E0,5.852978668E0,-1.153112091E1
3.051804558E1,7.232958984E-1,3.353326721E0,-1.188752975E1
3.052809158E1,1.840123444E0,2.951861572E0,-1.031579819E1
3.053813758E1,3.437152405E0,2.496209106E0,-1.130179779E1
