Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1.042962425E1,3.552795388E-4,5.526557798E-4,4.127671476E-3
1.043967125E1,1.073533902E-3,2.160322620E-4,2.315656748E-3
1.044971725E1,-1.728644129E-3,-2.587211085E-3,7.467886899E-4
1.045976325E1,-2.582793124E-3,-1.473144279E-3,3.654952161E-4
1.046980925E1,3.117965534E-4,-1.212154515E-3,1.434221864E-3
1.047985546E1,1.452646218E-3,-2.050534124E-3,9.717458161E-4
1.048990246E1,1.285133418E-3,-1.071556355E-3,1.080402755E-3
1.049994846E1,2.026897622E-3,-1.685922267E-3,2.002482302E-3
1.050999446E1,2.750212094E-3,-2.317624167E-3,4.492538050E-3
1.052004046E1,2.480191411E-3,-1.824132050E-3,3.762241919E-3
1.053008646E1,-1.162746921E-3,-1.359144109E-3,4.886095878E-3
1.054013346E1,-9.847990237E-3,-1.742239483E-2,6.335265934E-3
1.055017946E1,3.842788748E-3,8.367698174E-4,6.508903578E-3
1.056022546E1,1.498380676E-3,2.402422251E-3,4.980611615E-3
1.057027146E1,-2.292895224E-3,4.061571788E-3,3.928929102E-3
1.058031746E1,-1.128731295E-3,3.154089907E-3,4.157095216E-3
1.059036446E1,-1.850714441E-3,7.221269421E-3,4.904378206E-3
1.060041046E1,-2.724327613E-3,4.106935579E-3,3.112301230E-3
1.061045646E1,-4.610645119E-3,5.875274073E-3,5.508731119E-4
1.062050246E1,-3.586126026E-3,5.538477097E-3,-1.657254994E-3
1.063054846E1,-5.200534593E-3,7.354753092E-3,-1.303054858E-3
1.064059446E1,-5.836060271E-3,6.608328782E-3,-1.855531009E-3
1.065064146E1,-4.588901065E-3,5.147851538E-3,-3.593776142E-3
1.066068746E1,-4.967725370E-3,4.262041301E-3,-1.856575022E-3
1.067073346E1,-1.111734658E-3,1.537627191E-3,-9.569590911E-4
1.068077946E1,-2.142983489E-3,2.107251668E-3,1.267486019E-3
1.069082546E1,-1.859889366E-3,3.073979169E-3,1.912237378E-3
1.070087246E1,-3.044245765E-3,3.300155513E-4,9.518519510E-4
1.071091846E1,-7.608514279E-4,-9.775966173E-4,1.384882024E-3
1.072096446E1,-1.768276561E-3,1.993631886E-4,3.803348169E-3
1.073101046E1,-5.847681314E-4,-1.284550177E-3,4.379922524E-3
1.074105646E1,1.774115488E-3,-2.946103923E-4,7.369625382E-4
1.075110346E1,-4.173996858E-4,-1.397691667E-3,1.059471280E-3
1.076114946E1,6.897985004E-4,-6.423760206E-4,9.880772559E-4
1.077119546E1,2.536434447E-3,-1.951586106E-3,1.165710157E-3
1.078124146E1,4.079251550E-3,-1.862185425E-3,2.460832009E-3
1.079128746E1,3.283765167E-3,-1.472564996E-3,2.468004823E-6
1.080133346E1,1.601762837E-3,-2.604291774E-3,-3.027208149E-4
1.081138046E1,1.790847396E-3,9.901766898E-4,1.231185161E-4
1.082142646E1,-3.165635280E-4,3.031643573E-3,3.398493864E-4
1.083147246E1,-1.448140480E-3,-8.027757867E-4,-2.015712671E-4
1.084151846E1,-1.572216861E-3,-1.721995301E-3,-1.076577930E-3
1.085156446E1,-5.378448404E-4,2.948390320E-3,-5.127866752E-4
1.086161146E1,-9.851120412E-4,6.606731098E-3,-9.093100671E-4
1.087165746E1,-3.569177352E-3,1.154973987E-3,-3.982065246E-3
1.088170346E1,-2.967934590E-3,3.702159971E-3,-1.856531482E-3
1.089174946E1,-1.823574305E-3,5.564508494E-3,-1.870912500E-3
1.090179546E1,-4.825918004E-4,5.188784096E-3,4.120082594E-4
1.091184246E1,-2.763322555E-3,5.974150263E-3,9.651469300E-4
1.092188846E1,-4.117669072E-3,4.449426197E-3,1.506357687E-3
1.093193446E1,-3.572860733E-4,3.876047675E-3,1.545239822E-3
1.094198046E1,2.196106594E-3,4.504990298E-3,1.854612143E-3
1.095202646E1,2.293578349E-3,9.765000083E-3,1.226106193E-3
1.096207246E1,1.931926236E-4,7.381222211E-3,-5.471415352E-4
1.097211946E1,7.165037096E-4,7.687485777E-3,8.531485219E-4
1.098216546E1,4.835152999E-3,7.951867767E-3,3.287738189E-3
