"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.008081750E0,-9.280700684E-3,3.667373657E-2,1.016236725E1
3.018102750E0,-2.814147949E-2,5.613327026E-2,1.010788055E1
3.028123750E0,-4.834945679E-2,1.369651794E-1,9.920470276E0
3.038144750E0,-7.454498291E-2,1.341210938E-1,9.894574127E0
3.048166750E0,-1.179547119E-1,4.086502075E-2,9.645192719E0
3.058187750E0,-1.016386414E-1,4.790039063E-2,9.462871857E0
3.068208750E0,-8.637039185E-2,-3.742218018E-3,9.459129639E0
3.078229750E0,-8.337661743E-2,-2.016307068E-1,9.168434143E0
3.088250750E0,-5.972579956E-2,-9.595046997E-2,9.355395355E0
3.098271750E0,-6.197113037E-2,-1.808239746E-1,9.574090576E0
3.108292750E0,-6.586303711E-2,-2.215393066E-1,9.642049255E0
3.118313750E0,-1.221459961E-1,-1.158590698E-1,9.767039337E0
3.128334750E0,-1.904040527E-1,-3.712280273E-2,9.670041046E0
3.138355750E0,-2.061213684E-1,1.002914429E-1,9.704768829E0
3.148377750E0,-1.775308228E-1,2.853067017E-1,9.832153931E0
3.158398750E0,-3.637435913E-2,4.237687683E-1,9.902507629E0
3.168419750E0,1.353186035E-1,5.842350769E-1,1.001612137E1
3.178440750E0,2.891986084E-1,5.950126648E-1,1.010144394E1
3.188461750E0,3.439846802E-1,5.586383057E-1,1.009306137E1
3.198482750E0,3.706292725E-1,3.906875610E-1,1.014590149E1
3.208503750E0,3.775149536E-1,2.438429260E-1,1.011955627E1
3.218524750E0,3.299139404E-1,1.270857239E-1,1.011940659E1
3.228545750E0,3.126997375E-1,1.035845947E-1,1.011551468E1
3.238566750E0,3.742218018E-1,6.182144165E-2,1.018197647E1
3.248587750E0,5.953120422E-1,-1.460961914E-1,9.779164124E0
3.258609750E0,1.251397705E-1,1.791773987E-1,9.393416290E0
3.268630750E0,-1.112187195E-1,5.264552307E-1,9.534872131E0
3.278651458E0,6.735992432E-3,-5.493576050E-2,9.393865356E0
3.288672458E0,3.772155762E-2,-3.797602844E-1,9.370513916E0
3.298693458E0,-1.375639343E-1,-2.369572449E-1,9.432185669E0
3.308714458E0,-2.947370911E-1,-2.212399292E-1,9.568252716E0
3.318735458E0,-2.707868958E-1,-4.614903259E-1,9.765692139E0
3.328756458E0,-3.082090759E-1,-5.188211060E-1,9.891131287E0
3.338777458E0,-3.719764709E-1,-4.089495850E-1,9.893975372E0
3.348798458E0,-4.114942932E-1,-3.502716064E-1,9.895322571E0
3.358819458E0,-4.453239441E-1,-2.844085693E-1,9.845326538E0
3.368841458E0,-4.414320374E-1,-2.484832764E-1,9.747579803E0
3.378862458E0,-4.005670166E-1,-1.881587219E-1,9.616452484E0
3.388883458E0,-3.537144470E-1,-6.840774536E-2,9.559570770E0
3.398904458E0,-2.523751831E-1,-2.694396973E-3,9.598789215E0
3.408925458E0,-1.507365417E-1,8.801696777E-2,9.658215637E0
3.418946458E0,-6.481521606E-2,2.013313293E-1,9.609267426E0
3.428967458E0,-3.876937866E-2,2.073188782E-1,9.558223572E0
3.438988458E0,-6.735992432E-3,1.739382935E-1,9.634115753E0
3.449009458E0,1.197509766E-2,1.031355286E-1,9.759554901E0
3.459030458E0,-4.490661621E-3,1.841171265E-2,9.872270508E0
3.469052458E0,1.062789917E-2,3.742218018E-3,9.956844635E0
3.479073458E0,6.122268677E-2,-4.984634399E-2,1.003004242E1
3.489094458E0,8.756790161E-2,-4.400848389E-2,1.014635056E1
3.499115458E0,1.604663086E-1,4.715194702E-2,1.028900391E1
3.509136458E0,1.359173584E-1,1.032852173E-2,1.020817200E1
3.519157458E0,1.676513672E-2,-6.646179199E-2,9.875863037E0
3.529178458E0,-9.295669556E-2,-2.266287231E-1,9.587263184E0
3.539199458E0,-2.459385681E-1,-2.306703186E-1,9.518256683E0
3.549220458E0,-2.656974792E-1,-2.468367004E-1,9.591005402E0
3.559241458E0,-2.941383362E-1,-2.089654541E-1,9.740843811E0
3.569262458E0,-3.251239014E-1,-1.938468933E-1,9.807155914E0
3.579284458E0,-3.020718384E-1,-1.959425354E-1,9.818831635E0
3.589305458E0,-2.261796570E-1,-2.182461548E-1,9.727671204E0
3.599326458E0,-1.559756470E-1,-1.026864624E-1,9.570797424E0
3.609347458E0,-4.550537109E-2,1.002914429E-2,9.454788666E0
3.619368458E0,7.424560547E-2,1.077758789E-1,9.353299713E0
3.629389458E0,1.983375549E-1,3.014730835E-1,9.423803101E0
3.639410458E0,3.031196594E-1,4.105961609E-1,9.608219604E0
3.649431458E0,3.947291565E-1,3.712280273E-1,9.733209686E0
3.659452458E0,4.463717651E-1,2.748284912E-1,9.806856537E0
3.669473458E0,4.402345276E-1,1.398092651E-1,9.881102142E0
3.679495458E0,4.162843323E-1,-8.442443848E-2,9.931846619E0
3.689516458E0,2.791694641E-1,-3.369493103E-1,9.903256073E0
3.699537458E0,1.131646729E-1,-5.496569824E-1,9.933942261E0
3.709558458E0,-1.945953369E-3,-7.045848083E-1,9.924661560E0
3.719579458E0,-3.802093506E-2,-7.439529419E-1,9.983638916E0
3.729600458E0,1.191522217E-1,-8.035290527E-1,9.807904358E0
3.739621458E0,2.507286072E-1,-6.390211487E-1,9.939031677E0
3.749642458E0,2.519261169E-1,-4.328997803E-1,1.000938538E1
3.759663458E0,2.405497742E-1,-3.381468201E-1,9.848170624E0
3.769684458E0,2.612068176E-1,-2.769241333E-1,9.853559418E0
3.779705458E0,2.612068176E-1,-2.838098145E-1,9.908046112E0
3.789727458E0,1.932481384E-1,-2.718347168E-1,9.914033661E0
3.799748458E0,1.309776306E-1,-3.336561584E-1,9.931247864E0
3.809769458E0,8.906478882E-2,-3.969744873E-1,9.909243622E0
3.819790458E0,-1.496887207E-4,-3.972738647E-1,9.837842102E0
3.829811458E0,-6.077362061E-2,-3.962260437E-1,9.730964355E0
3.839832458E0,-1.249900818E-1,-3.180885315E-1,9.618697815E0
3.849853458E0,-1.713935852E-1,-2.240840149E-1,9.543404388E0
3.859874458E0,-1.625619507E-1,-1.685494995E-1,9.571545868E0
3.869895458E0,-1.040336609E-1,-1.453477478E-1,9.672735443E0
3.879916458E0,-1.437011719E-2,-4.879852295E-2,9.892478485E0
3.889938458E0,2.335144043E-2,5.822891235E-2,1.007929001E1
3.899959458E0,-3.876937866E-2,8.442443848E-2,1.009156448E1
3.909980458E0,-1.811233521E-1,6.212081909E-2,9.992919617E0
3.920001458E0,-3.535647583E-1,-4.221221924E-2,9.882000275E0
3.930022458E0,-5.339396667E-1,-2.535726929E-1,9.757010193E0
3.940043458E0,-7.279362488E-1,-4.782554626E-1,9.666149139E0
3.950064458E0,-8.396040344E-1,-6.400689697E-1,9.629774780E0
3.960085458E0,-8.927435303E-1,-7.958949280E-1,9.619446259E0
3.970106458E0,-8.141569519E-1,-7.789801025E-1,9.661957855E0
3.980127458E0,-5.963598633E-1,-5.992039490E-1,9.805958405E0
3.990148458E0,-3.146456909E-1,-3.721261597E-1,1.007225464E1
4.000170458E0,-1.487905884E-1,-1.098715210E-1,1.026041336E1
4.010191458E0,-1.019380188E-1,1.740879822E-1,1.042956161E1
4.020212458E0,-6.556365967E-2,2.032772827E-1,1.049557434E1
