"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.903637500E-1,9.456846859E-1,1.753887680E-1,-4.786791441E-2,-2.694956948E-1,3.794149008E1,2.094847130E1,2.290192071E-1,-3.177002539E1
9.003827500E-1,9.456525279E-1,1.756033323E-1,-4.796083241E-2,-2.694522414E-1,3.795282406E1,2.097548913E1,2.248783862E-1,-3.176689228E1
9.104017499E-1,9.456561947E-1,1.757171920E-1,-4.796536319E-2,-2.693644496E-1,3.795153188E1,2.098841757E1,2.261151576E-1,-3.175668216E1
9.204207500E-1,9.457202579E-1,1.756485190E-1,-4.794599145E-2,-2.691877700E-1,3.792894909E1,2.098014224E1,2.221864543E-1,-3.173557963E1
9.304397500E-1,9.458221479E-1,1.754737676E-1,-4.793213567E-2,-2.689458681E-1,3.789300534E1,2.096016083E1,2.128737058E-1,-3.170697443E1
9.404587500E-1,9.459343217E-1,1.752894489E-1,-4.799161541E-2,-2.686609765E-1,3.785339574E1,2.094144208E1,1.944070552E-1,-3.167491780E1
9.504787500E-1,9.460377290E-1,1.751729761E-1,-4.825882643E-2,-2.683247500E-1,3.781684628E1,2.093691749E1,1.545354375E-1,-3.164131018E1
9.604977500E-1,9.461330863E-1,1.751500535E-1,-4.871369103E-2,-2.679211307E-1,3.778311194E1,2.094881979E1,9.588631310E-2,-3.160385619E1
9.705167499E-1,9.462042934E-1,1.752867094E-1,-4.930143410E-2,-2.674723722E-1,3.775790220E1,2.098279869E1,2.694315273E-2,-3.156401276E1
9.805357500E-1,9.462313095E-1,1.755615016E-1,-5.002400494E-2,-2.670619883E-1,3.774833333E1,2.103650818E1,-5.139157333E-2,-3.153165911E1
9.905547500E-1,9.462070329E-1,1.759573606E-1,-5.075551091E-2,-2.667490901E-1,3.775693199E1,2.110406585E1,-1.247622947E-1,-3.151102252E1
1.000573750E0,9.461535064E-1,1.764128257E-1,-5.140332377E-2,-2.665140793E-1,3.777588417E1,2.117566404E1,-1.855164038E-1,-3.149778561E1
1.010592750E0,9.460773470E-1,1.769206479E-1,-5.199121436E-2,-2.663339015E-1,3.780283421E1,2.125125036E1,-2.369466555E-1,-3.148975119E1
1.020611750E0,9.459907774E-1,1.774559655E-1,-5.253180037E-2,-2.661791383E-1,3.783344560E1,2.132843382E1,-2.818416765E-1,-3.148373472E1
1.030630750E0,9.458966635E-1,1.779957718E-1,-5.319870049E-2,-2.660206240E-1,3.786669764E1,2.141014005E1,-3.403305685E-1,-3.148017673E1
1.040649750E0,9.458095460E-1,1.785425798E-1,-5.382429144E-2,-2.658379174E-1,3.789745269E1,2.149132308E1,-3.946726167E-1,-3.147297396E1
1.050668750E0,9.456927781E-1,1.790733298E-1,-5.447369535E-2,-2.657639286E-1,3.793863750E1,2.157151862E1,-4.496789298E-1,-3.147911385E1
1.060687750E0,9.455810258E-1,1.795329622E-1,-5.506004230E-2,-2.657309487E-1,3.797801303E1,2.164176695E1,-4.991977325E-1,-3.148869280E1
1.070707750E0,9.454844463E-1,1.799005565E-1,-5.550535537E-2,-2.657332035E-1,3.801201082E1,2.169722400E1,-5.355971723E-1,-3.149921860E1
1.080726750E0,9.453777304E-1,1.802061106E-1,-5.588163189E-2,-2.658266852E-1,3.804954275E1,2.174357774E1,-5.644478781E-1,-3.151885046E1
1.090745625E0,9.452725951E-1,1.804597503E-1,-5.624306219E-2,-2.659525568E-1,3.808648399E1,2.178366645E1,-5.925971328E-1,-3.154193809E1
1.100764625E0,9.451577871E-1,1.807046025E-1,-5.666579508E-2,-2.661045383E-1,3.812678454E1,2.182475979E1,-6.270349153E-1,-3.156950036E1
1.110783625E0,9.450350133E-1,1.810141447E-1,-5.718799980E-2,-2.662183770E-1,3.816983594E1,2.187629972E1,-6.709913535E-1,-3.159495957E1
1.120802625E0,9.449312689E-1,1.813879030E-1,-5.780191080E-2,-2.661995584E-1,3.820617819E1,2.193792583E1,-7.257796907E-1,-3.160712106E1
1.130821625E0,9.448645926E-1,1.818093293E-1,-5.840933118E-2,-2.660162196E-1,3.822951771E1,2.200459550E1,-7.820748269E-1,-3.160001633E1
1.140840625E0,9.448338254E-1,1.822611488E-1,-5.894853162E-2,-2.656969994E-1,3.824028290E1,2.207238283E1,-8.331473847E-1,-3.157555306E1
1.150859625E0,9.448383772E-1,1.826361346E-1,-5.928456317E-2,-2.653483607E-1,3.823869042E1,2.212499046E1,-8.654434381E-1,-3.154293290E1
1.160878625E0,9.448594717E-1,1.828894529E-1,-5.933992833E-2,-2.650861862E-1,3.823130965E1,2.215499848E1,-8.693737145E-1,-3.151379655E1
1.170897625E0,9.448895013E-1,1.830045086E-1,-5.921087995E-2,-2.649286202E-1,3.822080019E1,2.216365765E1,-8.554127182E-1,-3.149246869E1
1.180916625E0,9.449246097E-1,1.829997249E-1,-5.905925666E-2,-2.648404911E-1,3.820850981E1,2.215819299E1,-8.412248590E-1,-3.147863177E1
1.190936625E0,9.449628790E-1,1.829108688E-1,-5.896479503E-2,-2.647863746E-1,3.819510851E1,2.214514292E1,-8.350853751E-1,-3.147004019E1
1.200955625E0,9.449958589E-1,1.828240990E-1,-5.893066662E-2,-2.647362831E-1,3.818355586E1,2.213426192E1,-8.352947392E-1,-3.146332912E1
1.210974625E0,9.450218635E-1,1.827578652E-1,-5.894307887E-2,-2.646867605E-1,3.817444424E1,2.212717852E1,-8.398614064E-1,-3.145778660E1
1.220993625E0,9.450456976E-1,1.827182472E-1,-5.892548256E-2,-2.646327493E-1,3.816609131E1,2.212211920E1,-8.404494085E-1,-3.145103684E1
1.231012625E0,9.450642422E-1,1.827409222E-1,-5.887490634E-2,-2.645620269E-1,3.815959090E1,2.212299153E1,-8.358902742E-1,-3.144161499E1
1.241031625E0,9.450721236E-1,1.828437868E-1,-5.882860276E-2,-2.644730549E-1,3.815682791E1,2.213299691E1,-8.296739070E-1,-3.143022202E1
1.251050625E0,9.450692577E-1,1.829906001E-1,-5.879499592E-2,-2.643892670E-1,3.815783266E1,2.214835248E1,-8.233219920E-1,-3.141976332E1
1.261069625E0,9.450630831E-1,1.831317236E-1,-5.879744570E-2,-2.643131708E-1,3.815999721E1,2.216422808E1,-8.208667597E-1,-3.141103934E1
1.271088625E0,9.450592478E-1,1.832532066E-1,-5.879976905E-2,-2.642420691E-1,3.816134169E1,2.217789638E1,-8.189059256E-1,-3.140287987E1
1.281107625E0,9.450675086E-1,1.833180495E-1,-5.875741147E-2,-2.641769101E-1,3.815844584E1,2.218377919E1,-8.137792153E-1,-3.139432990E1
1.291126625E0,9.450885609E-1,1.832876142E-1,-5.865464164E-2,-2.641454896E-1,3.815106490E1,2.217705470E1,-8.043714201E-1,-3.138824003E1
